event_id,event_articles_count,event_representative_title,event_sources,event_industry,event_company,event_sources_count,citation_count,citation_index,citation_level
E0001,1,Начался пожар после взрыва на крупнейшем в мире комплексе по производству сжиженного природного газа (СПГ) - катарском промышленном объекте Рас-Лафан.,"[""telegram:banksta""]",нефтегаз,,1,0,0.0,не растиражирована
E0002,1,Отдых россиян в Азии снизил инфляцию в России.,"[""telegram:bankrollo""]",экономика,,1,0,0.0,не растиражирована
E0003,1,Правительство подготовило новую версию законопроекта об искусственном интеллекте (ИИ).,"[""telegram:rbc_news""]",политика,,1,0,0.0,не растиражирована
E0004,1,✨ Закрыт сбор на мобильные огневые группы!,"[""telegram:dva_majors""]",телекоммуникации,,1,0,0.0,не растиражирована
E0005,2,"↖️ Индия, один из ключевых покупателей российского топлива, увеличила закупки энергетического угля из РФ на 16% в январе—мае.","[""telegram:headlines_for_traders"", ""telegram:kommersant""]",нефтегаз,,2,1,31.55,низкая
E0006,2,"🤪 Wildberries заморозила развитие игрового направления на неопределенный срокWildberries & Russ отложила планы по выходу на рынок видеоигр на неопределенный срок, сообщает «Коммерсантъ» со ссылкой на источники.","[""telegram:frank_media"", ""telegram:kommersant""]",потребительский сектор,,2,1,31.55,низкая
E0007,1,🗞🗞🗞🗞 По итогам пяти месяцев текущего года Альфа-банк вышел в лидеры среди банков по предложению к продаже коллекторам просроченной задолженности.,"[""telegram:kommersant""]",экономика,,1,0,0.0,не растиражирована
E0008,1,📬 mt в max 🗓КАЛЕНДАРЬ НА СЕГОДНЯ — 2026.,"[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0009,1,"😀 РынкиДеньгиВласть — это аналитический сервис, который публикует аналитику и информацию источников.","[""telegram:ak47pfl""]",потребительский сектор,,1,0,0.0,не растиражирована
E0010,1,❗️🇨🇳#дкп #китай #цбКНР - 1 YEAR LPR (LOAN PRIME RATE) = 3% (ожид 3% / ранее 3%)5 YEAR LPR (LOAN PRIME RATE) = 3.,"[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0011,2,Ведомости (про западные активы в России):🟠Активы недружественных стран сократились вдвое — с $481 млрд (₽35.,"[""telegram:headlines_for_traders""]",экономика,,1,0,0.0,не растиражирована
E0012,1,🔔 #alertСовкомбанк (SVCB): гэп вверх более 5% при открытии,"[""telegram:headlines_for_traders""]",экономика,,1,0,0.0,не растиражирована
E0013,2,"⚠️🇷🇺#облигации #россия #офзИНДЕКС ОФЗ (RGBI) < 117ЦБ не опустит ключевую ниже 12% к концу года — аналитики, опрос Известия","[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0014,1,"💥✴️#SOL #крипто Третий по величине интернет-банк Южной Кореи, Toss Bank заключил партнерство с Solana для тестирования глобальной инфраструктуры денежных переводов и расчетов на блокчейне Solana.","[""telegram:markettwits""]",телекоммуникации,,1,0,0.0,не растиражирована
E0015,1,🇷🇺#UGLD 30 июня - акционеры ЮГК рассмотрят вопрос о новом составе совета директоров,"[""telegram:markettwits""]",политика,,1,0,0.0,не растиражирована
